# Time-averaged data for fix savg
# TimeStep v_gamma c_myP[1] c_myP[2] c_myP[4]
35000 0.00349505 219.72 122.69 -725.776
35100 0.00350505 225.361 124.53 -727.769
35200 0.00351505 231.907 126.656 -729.786
35300 0.00352505 237.663 127.314 -731.73
35400 0.00353505 242.868 127.35 -733.561
35500 0.00354505 248.685 128.676 -735.338
35600 0.00355505 254.806 130.424 -737.17
35700 0.00356505 260.083 130.734 -739.033
35800 0.00357505 265.254 130.351 -740.826
35900 0.00358505 271.288 131.112 -742.524
36000 0.00359505 277.171 132.324 -744.235
36100 0.00360505 281.959 132.385 -746.033
36200 0.00361505 286.87 131.913 -747.849
36300 0.00362505 292.994 132.308 -749.584
36400 0.00363505 298.813 132.922 -751.268
36500 0.00364505 303.313 132.691 -753.019
36600 0.00365505 307.903 132.358 -754.854
36700 0.00366505 313.891 132.733 -756.683
36800 0.00367505 319.645 132.908 -758.438
36900 0.00368505 324.096 132.346 -760.19
37000 0.00369505 328.51 132.209 -762.026
37100 0.00370505 334.195 132.869 -763.937
37200 0.00371505 339.702 132.953 -765.819
37300 0.00372505 344.189 132.187 -767.646
37400 0.00373505 348.657 132.215 -769.491
37500 0.00374505 354.02 133.277 -771.438
37600 0.00375505 358.979 133.612 -773.44
37700 0.00376505 363.223 132.985 -775.4
37800 0.00377505 367.821 133.188 -777.303
37900 0.00378505 373.079 134.61 -779.253
38000 0.00379505 377.569 135.405 -781.314
38100 0.00380505 381.564 135.227 -783.396
38200 0.00381505 386.221 135.788 -785.406
38300 0.00382505 391.267 137.386 -787.38
38400 0.00383505 395.12 138.506 -789.447
38500 0.00384505 398.462 138.957 -791.597
38600 0.00385505 402.826 140.051 -793.734
38700 0.00386505 407.672 141.8 -795.786
38800 0.00387505 411.173 143.063 -797.853
38900 0.00388505 414.015 144.052 -800.014
39000 0.00389505 417.834 145.764 -802.239
39100 0.00390505 422.067 147.647 -804.408
39200 0.00391505 425.111 148.823 -806.528
39300 0.00392505 427.476 150.036 -808.679
39400 0.00393505 430.606 152.2 -810.934
39500 0.00394505 434.015 154.275 -813.212
39600 0.00395505 436.468 155.327 -815.438
39700 0.00396505 438.431 156.473 -817.617
39800 0.00397505 440.908 158.735 -819.862
39900 0.00398505 443.321 160.885 -822.194
40000 0.00399505 444.942 161.856 -824.537
40100 0.00400505 446.451 162.815 -826.799
40200 0.00401505 448.4 164.845 -829.046
40300 0.00402505 449.876 166.818 -831.372
40400 0.00403505 450.506 167.706 -833.781
40500 0.00404505 451.373 168.507 -836.148
40600 0.00405505 452.8 170.123 -838.439
40700 0.00406505 453.496 171.63 -840.74
40800 0.00407505 453.164 172.31 -843.139
40900 0.00408505 453.214 173.019 -845.57
41000 0.00409505 453.977 174.227 -847.931
41100 0.00410505 453.987 175.079 -850.226
41200 0.00411505 452.852 175.34 -852.562
41300 0.00412505 452.055 175.928 -854.972
41400 0.00413505 451.969 176.823 -857.37
41500 0.00414505 451.261 177.028 -859.685
41600 0.00415505 449.465 176.69 -861.95
41700 0.00416505 447.916 177.024 -864.262
41800 0.00417505 446.886 177.669 -866.619
41900 0.00418505 445.29 177.368 -868.937
42000 0.00419505 442.883 176.402 -871.148
42100 0.00420505 440.773 176.287 -873.313
42200 0.00421505 438.844 176.615 -875.528
42300 0.00422505 436.199 175.927 -877.775
42400 0.00423505 433.1 174.493 -879.93
42500 0.00424505 430.528 173.855 -881.955
42600 0.00425505 427.856 173.692 -883.959
42700 0.00426505 424.126 172.626 -886.023
42800 0.00427505 420.189 170.919 -888.068
42900 0.00428505 417.129 169.867 -889.972
43000 0.00429505 413.904 169.1 -891.76
43100 0.00430505 409.36 167.573 -893.559
43200 0.00431505 404.642 165.753 -895.406
43300 0.00432505 400.923 164.489 -897.178
43400 0.00433505 397.127 163.139 -898.793
43500 0.00434505 391.995 161.039 -900.324
43600 0.00435505 386.635 159.07 -901.9
43700 0.00436505 382.224 157.797 -903.496
43800 0.00437505 377.835 156.086 -904.998
43900 0.00438505 372.261 153.422 -906.347
44000 0.00439505 366.514 151.182 -907.662
44100 0.00440505 361.483 149.916 -909.04
44200 0.00441505 356.357 148.048 -910.451
44300 0.00442505 350.319 144.993 -911.743
44400 0.00443505 344.474 142.447 -912.926
44500 0.00444505 339.117 141.065 -914.128
44600 0.00445505 333.312 139.129 -915.467
44700 0.00446505 326.746 135.951 -916.816
44800 0.00447505 320.88 133.202 -918.061
44900 0.00448505 315.48 131.546 -919.241
45000 0.00449505 309.231 129.426 -920.566
45100 0.00450505 302.17 126.299 -922.043
45200 0.00451505 296.244 123.59 -923.537
45300 0.00452505 290.957 121.635 -924.93
45400 0.00453505 284.587 119.122 -926.389
45500 0.00454505 277.242 116.01 -928.051
45600 0.00455505 271.187 113.544 -929.894
45700 0.00456505 265.957 111.432 -931.717
45800 0.00457505 259.678 108.407 -933.523
45900 0.00458505 252.408 105.12 -935.461
46000 0.00459505 246.319 102.923 -937.672
46100 0.00460505 241.012 100.859 -940.027
46200 0.00461505 234.825 97.4086 -942.379
46300 0.00462505 227.961 93.7896 -944.733
46400 0.00463505 222.13 91.6919 -947.304
46500 0.00464505 216.734 89.7654 -950.151
46600 0.00465505 210.511 86.1372 -953.117
46700 0.00466505 204.223 82.238 -956.016
46800 0.00467505 199.036 80.0306 -958.957
46900 0.00468505 193.801 78.1253 -962.154
47000 0.00469505 187.502 74.5456 -965.608
47100 0.00470505 181.803 70.6564 -969.051
47200 0.00471505 177.563 68.2985 -972.363
47300 0.00472505 172.946 66.1717 -975.738
47400 0.00473505 166.825 62.6826 -979.374
47500 0.00474505 161.751 59.1772 -983.122
47600 0.00475505 158.583 56.9017 -986.687
47700 0.00476505 155.045 54.4056 -990.057
47800 0.00477505 149.68 50.8707 -993.483
47900 0.00478505 145.513 47.9865 -997.06
48000 0.00479505 143.445 46.1988 -1000.54
48100 0.00480505 141.242 43.4802 -1003.66
48200 0.00481505 137.312 39.7989 -1006.52
48300 0.00482505 134.633 37.5398 -1009.38
48400 0.00483505 133.781 36.5626 -1012.25
48500 0.00484505 132.902 34.0554 -1014.82
48600 0.00485505 130.853 30.4213 -1016.91
48700 0.00486505 130.286 28.688 -1018.72
48800 0.00487505 130.93 28.5487 -1020.54
48900 0.00488505 131.233 26.7121 -1022.28
49000 0.00489505 131.057 23.633 -1023.62
49100 0.00490505 132.834 22.4412 -1024.49
49200 0.00491505 135.241 22.9029 -1025.25
49300 0.00492505 136.587 21.8927 -1026.15
49400 0.00493505 137.9 19.9776 -1026.98
49500 0.00494505 141.707 19.5757 -1027.39
49600 0.00495505 145.944 20.3972 -1027.53
49700 0.00496505 148.482 20.0336 -1027.81
49800 0.00497505 150.995 19.3304 -1028.34
49900 0.00498505 156.03 19.994 -1028.79
50000 0.00499505 161.513 21.0895 -1029.03
50100 0.00500505 165.138 21.0628 -1029.26
50200 0.00501505 168.657 21.4236 -1029.81
50300 0.00502505 174.37 23.248 -1030.6
50400 0.00503505 180.57 24.8115 -1031.37
