# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
53500 -184.952 -1980.7 48.0996
53600 -137.449 -1829.55 103.547
53700 -253.154 -2059.98 29.4134
53800 -183.543 -1987.18 80.1441
53900 -125.996 -1983.26 20.9915
54000 -255.739 -1920 14.5512
54100 -267.858 -2147.27 51.8618
54200 -202.473 -1900.69 106.074
54300 -147.568 -1909.88 73.6226
54400 -253.092 -1860.39 63.6332
54500 -228.69 -1893.4 27.5746
54600 -148.113 -1922.46 68.5339
54700 -93.48 -1969.32 -19.7309
54800 -328.408 -1934.66 -17.5402
54900 -235.715 -1861.44 -1.67144
55000 -55.686 -1797 -23.5734
55100 -96.9034 -1895.44 34.6195
55200 -346.379 -1954.13 -87.1118
55300 -162.199 -1972.43 38.7087
55400 -80.9303 -1838.14 -51.2788
55500 -17.2265 -1947.68 9.48603
55600 -156.813 -1893.62 -8.04137
55700 -107.956 -1886.74 -43.9317
55800 -124.635 -1907.87 78.444
55900 -216.762 -2069.98 44.9383
56000 -227.815 -2038.87 -35.3694
56100 -170.183 -1890.9 -13.1007
56200 -207.809 -1966.17 22.9622
56300 -413.942 -2311.54 31.2158
56400 -239.124 -2165.3 48.0213
56500 -223.269 -2034 0.967623
56600 -311.027 -2118.84 24.8389
56700 -405.964 -2385.43 89.7403
56800 -155.825 -2193.25 79.6242
56900 -340.196 -2323.24 25.9223
57000 -393.044 -2276.83 13.634
57100 -372.554 -2376.97 73.0083
57200 -117.191 -2210.22 72.6824
57300 -317.425 -2385.85 15.4616
57400 -384.98 -2315.53 17.7912
57500 -467.3 -2442.71 47.8142
57600 -203.521 -2333.58 78.2939
57700 -338.626 -2410.14 39.8235
57800 -317.573 -2482.28 -16.647
57900 -308.308 -2333.56 89.6395
58000 -255.76 -2345.68 72.8098
58100 -361.83 -2412.06 104.364
58200 -381.223 -2479.72 -24.9488
58300 -262.022 -2258.94 18.4661
58400 -320.35 -2339.42 38.4386
58500 -302.417 -2251.77 41.7327
58600 -213.155 -2318.15 -40.0589
58700 -138.168 -2165.16 -57.9855
58800 -278.963 -2309.37 22.4789
58900 -206.702 -2276.73 54.3368
59000 -138.244 -2285.16 -27.4562
59100 -12.0329 -2210.65 -69.9258
59200 -148.312 -2265.59 -25.6637
59300 -144.331 -2199.53 -5.2815
59400 -94.6513 -2250.04 64.6866
59500 -180.051 -2164.55 -77.2632
59600 -328.005 -2315.97 14.5845
59700 -358.471 -2245.77 77.9233
59800 -164.941 -2151.35 69.0384
59900 -149.458 -2164.15 29.9224
60000 -261.137 -2237.97 6.0332
60100 -252.644 -2208.58 31.0449
60200 -291.669 -2204.18 43.3665
60300 -332.679 -2331.39 44.7898
60400 -267.72 -2272.09 -9.0936
60500 -265.631 -2233.68 37.6436
60600 -250.879 -2096.37 41.5447
60700 -251.723 -2333.57 124.348
60800 -314.109 -2358.13 -38.6799
60900 -220.492 -2305.35 -30.1772
61000 -321.519 -2262.13 6.68455
61100 -240.211 -2375.85 51.6311
61200 -215.275 -2310.72 46.3346
61300 -142.235 -2342.45 50.9492
61400 -370.347 -2446.07 64.4743
61500 -329.437 -2398.17 132.575
61600 -326.856 -2449.49 122.771
61700 -225.732 -2333.84 44.4795
61800 -338.81 -2382.55 20.8574
61900 -430.752 -2316.16 27.7798
62000 -295.623 -2380.09 98.634
62100 -287.504 -2347.06 -32.7878
62200 -331.475 -2375.13 -62.0145
62300 -220.005 -2354.78 -3.58475
62400 -310.802 -2321.36 21.4113
62500 -314.831 -2459.31 53.9122
62600 -260.58 -2502.7 -73.5515
62700 -188.703 -2495.06 -1.65109
62800 -154.152 -2313.25 -25.913
62900 -305.925 -2459.42 76.0899
63000 -220.765 -2547.15 -89.0204
63100 -291.22 -2624.72 -15.7583
63200 -288.232 -2568.71 36.2399
63300 -367.004 -2491.7 40.6534
63400 -309.001 -2525.58 -27.6891
63500 -308.806 -2504 39.6148
63600 -272.836 -2553.75 7.37327
63700 -528.886 -2687.08 106.179
63800 -549.462 -2652.09 -32.1468
63900 -456.287 -2645.63 -12.7139
64000 -355.87 -2678.28 23.6813
64100 -474.489 -2700.16 55.0459
64200 -357.064 -2547.38 111.217
64300 -406.239 -2530.03 -1.9711
64400 -379.674 -2671.84 16.3215
64500 -328.538 -2627.48 46.7302
64600 -334.048 -2637.92 81.783
64700 -427.881 -2557.64 12.9371
64800 -432.977 -2644.15 14.4015
64900 -198.371 -2514.24 51.1061
65000 -390.769 -2561.98 152.45
65100 -323.443 -2626.32 70.3612
65200 -496.519 -2635.51 69.682
65300 -325.46 -2552.36 3.99851
65400 -294.457 -2659.54 61.5156
65500 -310.325 -2482.97 65.1648
65600 -376.508 -2390.58 1.68733
65700 -253.068 -2465.3 50.9744
65800 -367.027 -2551.57 20.2657
65900 -351.387 -2521.05 27.9911
66000 -345.618 -2341.12 -16.5656
66100 -279.045 -2398.66 -46.2893
66200 -181.465 -2419.35 -41.7152
66300 -180.327 -2402.57 7.90558
66400 -191.191 -2333.78 -28.1526
66500 -195.312 -2341.76 -15.1883
66600 -100.471 -2492.23 -31.4006
66700 -212.187 -2516.59 94.5577
66800 -203.694 -2481.06 -37.4426
66900 -234.981 -2393.46 -57.8868
67000 -298.306 -2498.7 -13.6938
67100 -283.621 -2595.91 83.1462
67200 -336.904 -2542.94 65.7098
67300 -374.803 -2630.12 -105.367
67400 -492.341 -2736.49 -4.95605
67500 -308.711 -2635.84 68.528
67600 -259.97 -2639.99 67.7826
67700 -367.61 -2580.92 -43.5071
67800 -498.28 -2714.53 -4.92088
67900 -237.768 -2705.91 51.9248
68000 -361.133 -2748.23 93.4086
68100 -450.497 -2811.9 -26.1628
68200 -454.574 -2754.22 10.8536
68300 -213.457 -2686.76 27.6453
68400 -306.752 -2769.49 87.1435
68500 -463.341 -2899.68 91.4656
68600 -344.048 -2820.36 2.81153
68700 -288.064 -2765.04 36.7357
68800 -291.89 -2863.22 33.1512
68900 -527.65 -2922.47 100.865
69000 -398.328 -2850.62 -12.8026
69100 -513.904 -2854.01 24.6279
69200 -490.751 -2941.56 -12.1657
69300 -485.573 -2856.96 55.5079
69400 -216.099 -2770.94 -20.8263
69500 -382.106 -2783.8 73.3376
69600 -406.33 -2994.24 -50.0615
69700 -438.931 -2832.77 18.5626
69800 -248.137 -2692.28 -4.43546
69900 -301.411 -2604.04 -2.37921
70000 -211.214 -2750.48 -28.0967
70100 -262.226 -2634.27 15.4152
70200 -164.461 -2732.81 -0.0812589
70300 -381.719 -2787.9 -35.1507
70400 -407.39 -2751.68 39.3406
70500 -286.02 -2664.82 -4.90242
70600 -266.107 -2685.54 8.15649
70700 -296.58 -2727.09 3.79743
70800 -473.13 -2749.19 45.78
70900 -345.414 -2681.57 5.576
71000 -483.118 -2872.43 29.948
