# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
39000 -1623.52 -335.564 -0.237758
39100 -1631.74 -340.949 -0.193758
39200 -1640.61 -346.852 -0.14342
39300 -1648.51 -352.275 -0.0870749
39400 -1655.71 -357.523 -0.0257869
39500 -1664.08 -363.554 0.0400456
39600 -1673.16 -369.772 0.109448
39700 -1681.32 -375.102 0.181591
39800 -1688.8 -380.554 0.254909
39900 -1697.34 -387.232 0.328069
40000 -1706.38 -393.944 0.399776
40100 -1714.62 -399.282 0.468444
40200 -1722.51 -404.811 0.532531
40300 -1731.35 -411.952 0.589427
40400 -1740.18 -419.175 0.637647
40500 -1748.15 -424.69 0.674237
40600 -1756.37 -430.298 0.698078
40700 -1765.62 -437.61 0.70492
40800 -1774.19 -445.066 0.693376
40900 -1781.5 -450.788 0.658466
41000 -1789.67 -456.567 0.599831
41100 -1799.19 -463.747 0.511434
41200 -1807.43 -470.803 0.39261
41300 -1813.73 -476.34 0.236149
41400 -1821.24 -482.209 0.0429199
41500 -1830.42 -488.878 -0.194138
41600 -1837.96 -494.524 -0.472917
41700 -1842.9 -498.791 -0.800141
41800 -1849.03 -504.006 -1.17023
41900 -1856.72 -509.359 -1.58562
42000 -1862.58 -512.185 -2.03441
42100 -1865.76 -513.422 -2.51338
42200 -1869.95 -516.256 -3.00417
42300 -1874.9 -518.771 -3.49548
42400 -1877.94 -517.514 -3.96275
42500 -1879.26 -514.519 -4.39588
42600 -1881.64 -513.464 -4.77941
42700 -1883.77 -512.21 -5.10808
42800 -1884 -507.31 -5.36987
42900 -1883.87 -500.958 -5.56467
43000 -1885.24 -496.494 -5.6886
43100 -1885.77 -492.177 -5.74542
43200 -1884.44 -485.371 -5.7362
43300 -1883.81 -477.98 -5.6693
43400 -1885.14 -472.105 -5.55049
43500 -1885.6 -466.355 -5.38828
43600 -1884.29 -459.32 -5.18875
43700 -1883.95 -452.583 -4.96027
43800 -1885.59 -446.877 -4.70858
43900 -1886.63 -440.867 -4.43962
44000 -1886.2 -434.219 -4.15806
44100 -1886.58 -428.556 -3.86921
44200 -1888.57 -423.708 -3.57669
44300 -1890.23 -418.133 -3.28378
44400 -1890.94 -412.092 -2.99332
44500 -1892.32 -407.389 -2.70834
44600 -1894.75 -403.521 -2.43094
44700 -1896.9 -398.763 -2.16284
44800 -1898.67 -393.504 -1.90558
44900 -1901.18 -389.577 -1.66085
45000 -1904.21 -386.526 -1.42978
45100 -1906.79 -382.695 -1.21335
45200 -1909.4 -378.381 -1.0123
45300 -1912.96 -375.162 -0.827594
45400 -1916.72 -372.708 -0.659795
45500 -1919.79 -369.704 -0.509572
45600 -1923.05 -366.42 -0.377147
45700 -1927.45 -363.959 -0.263028
45800 -1931.98 -361.964 -0.16727
45900 -1935.64 -359.587 -0.0902658
46000 -1939.47 -357.28 -0.0317601
46100 -1944.48 -355.659 0.00816177
46200 -1949.64 -354.112 0.0300269
46300 -1953.95 -352.18 0.0338793
46400 -1958.36 -350.687 0.0205881
46500 -1963.78 -349.923 -0.00926571
46600 -1969.34 -348.894 -0.0548356
46700 -1974.23 -347.271 -0.116708
46800 -1979.24 -346.333 -0.192689
46900 -1984.98 -346.295 -0.279235
47000 -1990.66 -345.85 -0.375996
47100 -1995.89 -344.663 -0.483319
47200 -2001.45 -344.163 -0.598493
47300 -2007.45 -344.606 -0.719463
47400 -2013.05 -344.648 -0.844823
47500 -2018.33 -343.917 -0.973966
47600 -2024.22 -343.837 -1.10031
47700 -2030.37 -344.587 -1.22004
47800 -2035.75 -345.001 -1.33444
47900 -2040.77 -344.861 -1.44245
48000 -2046.62 -345.234 -1.5413
48100 -2052.77 -346.132 -1.6286
48200 -2057.87 -346.679 -1.70189
48300 -2062.54 -347.054 -1.75958
48400 -2068.09 -348.012 -1.80098
48500 -2073.96 -349.126 -1.82565
48600 -2078.79 -349.722 -1.83261
48700 -2083.2 -350.511 -1.82182
48800 -2088.36 -352.081 -1.79337
48900 -2093.77 -353.559 -1.74733
49000 -2098.36 -354.298 -1.68499
49100 -2102.72 -355.409 -1.60831
49200 -2107.67 -357.549 -1.51882
49300 -2112.66 -359.526 -1.41818
49400 -2117.06 -360.635 -1.30847
49500 -2121.62 -362.121 -1.19344
49600 -2126.66 -364.654 -1.07422
49700 -2131.43 -367.149 -0.948464
49800 -2135.72 -368.859 -0.820382
49900 -2140.56 -370.902 -0.695218
50000 -2145.96 -373.887 -0.575051
50100 -2150.82 -376.844 -0.459854
50200 -2155.18 -379.337 -0.349509
50300 -2160.39 -382.214 -0.250498
50400 -2166.27 -385.726 -0.16563
50500 -2171.52 -389.079 -0.0943992
50600 -2176.22 -392.278 -0.0371508
50700 -2181.8 -396.077 0.00366925
50800 -2188.17 -400.269 0.0265494
50900 -2193.94 -404.044 0.0305133
51000 -2199.22 -407.907 0.0145684
51100 -2205.3 -412.666 -0.0225115
51200 -2212.06 -417.696 -0.0807523
51300 -2218.35 -421.975 -0.161267
51400 -2224.36 -426.353 -0.263182
51500 -2231.06 -431.884 -0.387106
51600 -2238.15 -437.707 -0.533138
51700 -2244.79 -442.56 -0.701994
51800 -2251.52 -447.456 -0.893479
51900 -2259.02 -453.655 -1.10794
52000 -2266.5 -460.224 -1.34454
52100 -2273.34 -465.789 -1.6029
52200 -2280.66 -471.33 -1.8818
52300 -2289 -478.053 -2.18054
52400 -2296.94 -485.044 -2.49734
52500 -2303.85 -491.178 -2.83061
52600 -2311.51 -497.413 -3.17809
52700 -2320.52 -504.553 -3.53736
52800 -2328.88 -511.519 -3.90478
52900 -2335.84 -517.779 -4.27633
53000 -2343.57 -524.531 -4.64729
53100 -2352.83 -531.899 -5.01192
53200 -2361.31 -538.24 -5.36294
53300 -2368.24 -543.78 -5.6925
53400 -2375.84 -550.318 -5.99245
53500 -2384.7 -557.278 -6.25357
53600 -2392.62 -562.14 -6.46585
53700 -2399.23 -565.788 -6.6207
53800 -2406.5 -570.748 -6.71117
53900 -2414.31 -576.022 -6.73165
54000 -2420.78 -578.452 -6.67823
54100 -2426.57 -579.335 -6.55204
54200 -2433.33 -581.502 -6.35673
54300 -2439.77 -583.939 -6.09835
54400 -2444.44 -583.699 -5.78311
54500 -2449.11 -582.159 -5.42171
54600 -2455.27 -581.663 -5.02384
54700 -2460.65 -581.296 -4.59995
54800 -2463.99 -578.998 -4.15734
54900 -2467.67 -576.141 -3.70708
55000 -2473.24 -574.088 -3.25891
55100 -2478.03 -571.749 -2.82387
55200 -2480.81 -568.201 -2.40748
55300 -2484 -565.059 -2.01656
55400 -2489 -562.656 -1.65365
55500 -2493.4 -559.408 -1.32311
55600 -2496.2 -555.251 -1.02569
55700 -2499.35 -552.176 -0.76424
55800 -2503.84 -549.957 -0.53836
55900 -2507.79 -546.504 -0.349775
56000 -2510.75 -542.137 -0.197337
56100 -2514.17 -539.122 -0.0814803
56200 -2518.31 -537.128 2.75974e-05
56300 -2521.73 -533.845 0.0477769
56400 -2524.71 -529.623 0.064335
56500 -2528.48 -526.634 0.0511496
